state,00,01,02,10,11,12,20,21,22
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",17349.0,15570.0,16265.0,15557.0,57304.0,14404.0,16703.0,14773.0,26916.0
"[[-1, 0, 0], [0, 0, 0], [0, 0, 0]]",,1120.0,1550.0,1110.0,30310.0,1590.0,1990.0,1510.0,1370.0
"[[0, -1, 0], [0, 0, 0], [0, 0, 0]]",1130.0,,1160.0,970.0,1560.0,930.0,1080.0,760.0,3430.0
"[[0, 0, -1], [0, 0, 0], [0, 0, 0]]",1220.0,700.0,,2510.0,1290.0,610.0,870.0,870.0,1090.0
"[[0, 0, 0], [-1, 0, 0], [0, 0, 0]]",1220.0,1140.0,1430.0,,1360.0,730.0,1320.0,870.0,3410.0
"[[0, 0, 0], [0, -1, 0], [0, 0, 0]]",820.0,580.0,860.0,490.0,,580.0,2240.0,780.0,890.0
"[[0, 0, 0], [0, 0, -1], [0, 0, 0]]",1350.0,850.0,990.0,770.0,3850.0,,1200.0,1080.0,1210.0
"[[0, 0, 0], [0, 0, 0], [-1, 0, 0]]",2640.0,1070.0,990.0,580.0,1180.0,990.0,,840.0,950.0
"[[0, 0, 0], [0, 0, 0], [0, -1, 0]]",1220.0,710.0,3490.0,1000.0,1530.0,1220.0,1170.0,,1260.0
"[[0, 0, 0], [0, 0, 0], [0, 0, -1]]",870.0,860.0,2590.0,910.0,1380.0,770.0,1060.0,630.0,
"[[-1, 1, 0], [0, 0, 0], [0, 0, 0]]",,,153.0,351.0,250.0,261.0,261.0,198.0,612.0
"[[-1, 0, 1], [0, 0, 0], [0, 0, 0]]",,99.0,,234.0,675.0,198.0,270.0,126.0,234.0
"[[-1, 0, 0], [1, 0, 0], [0, 0, 0]]",,243.0,216.0,,612.0,261.0,180.0,225.0,297.0
"[[-1, 0, 0], [0, 1, 0], [0, 0, 0]]",,250.0,223.0,166.0,,135.0,745.0,115.0,126.0
"[[-1, 0, 0], [0, 0, 1], [0, 0, 0]]",,252.0,630.0,279.0,207.0,,252.0,144.0,180.0
"[[-1, 0, 0], [0, 0, 0], [1, 0, 0]]",,243.0,234.0,126.0,279.0,261.0,,189.0,567.0
"[[-1, 0, 0], [0, 0, 0], [0, 1, 0]]",,270.0,594.0,207.0,306.0,234.0,369.0,,261.0
"[[-1, 0, 0], [0, 0, 0], [0, 0, 1]]",,396.0,198.0,225.0,234.0,171.0,162.0,180.0,
"[[1, -1, 0], [0, 0, 0], [0, 0, 0]]",,,189.0,178.0,639.0,216.0,234.0,196.0,99.0
"[[0, -1, 1], [0, 0, 0], [0, 0, 0]]",117.0,,,131.0,295.0,162.0,207.0,558.0,216.0
"[[0, -1, 0], [1, 0, 0], [0, 0, 0]]",522.0,,162.0,,214.0,225.0,180.0,234.0,205.0
"[[0, -1, 0], [0, 1, 0], [0, 0, 0]]",450.0,,221.0,151.0,,153.0,189.0,99.0,243.0
"[[0, -1, 0], [0, 0, 1], [0, 0, 0]]",504.0,,239.0,160.0,225.0,,144.0,198.0,196.0
"[[0, -1, 0], [0, 0, 0], [1, 0, 0]]",194.0,,216.0,133.0,243.0,405.0,,135.0,108.0
"[[0, -1, 0], [0, 0, 0], [0, 1, 0]]",259.0,,284.0,187.0,158.0,414.0,180.0,,198.0
"[[0, -1, 0], [0, 0, 0], [0, 0, 1]]",205.0,,189.0,198.0,612.0,180.0,126.0,255.0,
